Name,Carbon,Height
Carpinus betulus,102.9,14.0
Carpinus betulus,157.1,13.0
Carpinus betulus,91.4,14.0
Carpinus betulus,91.4,7.0
Carpinus betulus,115.2,8.0
Carpinus betulus,81.0,6.2
Carpinus betulus,70.8,11.0
Carpinus betulus,264.8,12.0
Carpinus betulus,81.0,6.2
Carpinus betulus,157.1,13.0
Carpinus betulus,115.2,13.0
Carpinus betulus,61.7,13.0
Carpinus betulus,206.8,14.0
Carpinus betulus,102.9,10.0
Carpinus betulus,102.9,8.0
Carpinus betulus,102.9,12.0
Carpinus betulus,102.9,12.0
Carpinus betulus,244.5,12.0
Carpinus betulus,96.6,6.0
Carpinus betulus,208.6,6.0
Carpinus betulus,160.8,8.0
Carpinus betulus,111.9,9.0
Carpinus betulus,2050.8,8.0
Carpinus betulus,390.5,9.0
Carpinus betulus,257.6,9.0
Carpinus betulus,86.1,6.0
Carpinus betulus,124.2,7.0
Carpinus betulus,86.1,8.0
Carpinus betulus,165.6,8.0
Carpinus betulus,350.3,12.0
Carpinus betulus,124.2,8.0
Carpinus betulus,93.0,7.0
Carpinus betulus,27.5,4.0
Carpinus betulus,155.9,7.0
Carpinus betulus,115.2,7.0
Carpinus betulus,80.8,8.0
Carpinus betulus,115.2,7.0
Carpinus betulus,102.9,6.0
Carpinus betulus,26.5,3.0
Carpinus betulus,26.5,3.0
Carpinus betulus,115.2,6.0
Carpinus betulus,61.7,4.0
Carpinus betulus,102.9,8.0
Carpinus betulus,70.8,7.0
Carpinus betulus,80.8,8.0
Carpinus betulus,91.4,7.0
Carpinus betulus,80.8,7.0
Carpinus betulus,38.5,6.0
Carpinus betulus,45.5,7.0
Carpinus betulus,70.8,6.0
Carpinus betulus,53.2,5.0
Carpinus betulus,26.5,4.0
Carpinus betulus,70.8,3.0
Carpinus betulus,61.7,6.0
Carpinus betulus,115.2,7.0
Carpinus betulus,45.5,7.0
Carpinus betulus,115.2,8.0
Carpinus betulus,61.7,7.0
Carpinus betulus,53.2,6.0
Carpinus betulus,26.5,6.0
Carpinus betulus,38.5,6.0
Carpinus betulus,53.2,6.0
Carpinus betulus,38.5,4.0
Carpinus betulus,45.5,5.0
Carpinus betulus,45.5,8.0
Carpinus betulus,61.7,8.0
Carpinus betulus,61.7,7.0
Carpinus betulus,115.2,9.0
Carpinus betulus,115.2,9.0
Carpinus betulus,115.2,8.0
Carpinus betulus,115.2,8.0
Carpinus betulus,115.2,8.0
Carpinus betulus,91.4,7.0
Carpinus betulus,115.2,8.0
Carpinus betulus,26.5,4.0
Carpinus betulus,26.5,3.5
Carpinus betulus,102.9,7.0
Carpinus betulus,102.9,6.0
Carpinus betulus,102.9,5.0
Carpinus betulus,115.2,9.0
Carpinus betulus,102.9,8.0
Carpinus betulus,91.4,6.0
Carpinus betulus,38.5,5.0
